"Date","Price","Open","High","Low","Change %"
"08/12/2022","2.965","2.988","3.007","2.932","-0.91%"
"08/11/2022","2.992","2.928","3.004","2.852","2.23%"
"08/10/2022","2.927","2.968","3.045","2.794","-1.15%"
"08/09/2022","2.961","2.904","2.987","2.896","1.88%"
"08/08/2022","2.906","2.967","2.990","2.892","-1.73%"
"08/05/2022","2.957","2.779","2.990","2.775","5.72%"
"08/04/2022","2.797","2.843","2.872","2.753","-1.14%"
"08/03/2022","2.829","2.856","2.974","2.802","-1.01%"
"08/02/2022","2.858","2.629","2.873","2.579","7.69%"
"08/01/2022","2.654","2.703","2.721","2.637","-1.00%"
"07/29/2022","2.681","2.703","2.767","2.658","-0.62%"
"07/28/2022","2.698","2.819","2.884","2.653","-4.87%"
"07/27/2022","2.836","2.894","2.916","2.792","-2.21%"
"07/26/2022","2.900","2.887","2.907","2.797","0.41%"
"07/25/2022","2.888","2.887","2.919","2.860","1.42%"
"07/22/2022","2.848","2.989","3.018","2.809","-4.73%"
"07/21/2022","2.989","3.162","3.212","2.974","-5.61%"
"07/20/2022","3.167","3.160","3.181","3.070","0.22%"
"07/19/2022","3.160","3.099","3.162","3.066","1.82%"
"07/18/2022","3.104","3.044","3.131","3.029","1.84%"
"07/15/2022","3.048","3.062","3.090","2.995","-0.51%"
"07/14/2022","3.063","3.043","3.155","3.013","1.18%"
"07/13/2022","3.028","3.011","3.154","2.967","0.27%"
"07/12/2022","3.020","3.047","3.052","2.953","-1.11%"
"07/11/2022","3.053","3.142","3.149","3.011","-2.18%"
"07/08/2022","3.122","3.037","3.159","3.000","2.73%"
"07/07/2022","3.039","2.980","3.068","2.938","1.98%"
"07/06/2022","2.980","2.835","2.983","2.735","5.53%"
"07/05/2022","2.824","2.914","2.973","2.772","-3.17%"
"07/04/2022","2.916","2.914","2.916","2.914","1.10%"
"07/01/2022","2.884","3.053","3.056","2.780","-5.22%"
"06/30/2022","3.043","3.133","3.160","3.003","-3.08%"
"06/29/2022","3.139","3.236","3.248","3.139","-2.94%"
"06/28/2022","3.235","3.259","3.313","3.224","-0.77%"
"06/27/2022","3.260","3.186","3.291","3.170","2.27%"
"06/24/2022","3.188","3.136","3.198","3.081","1.47%"
"06/23/2022","3.141","3.223","3.251","3.037","-2.86%"
