"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2022","0.37952","0.38018","0.38053","0.37007","46.42M","-0.18%"
"08/11/2022","0.38022","0.38140","0.38560","0.37716","57.06M","-0.30%"
"08/10/2022","0.38138","0.36729","0.38155","0.35855","67.37M","3.83%"
"08/09/2022","0.36732","0.37870","0.38001","0.36062","60.04M","-3.01%"
"08/08/2022","0.37870","0.37229","0.38457","0.37145","43.98M","1.72%"
"08/07/2022","0.37228","0.37138","0.37690","0.36812","16.81M","0.25%"
"08/06/2022","0.37136","0.37637","0.37759","0.37071","16.83M","-1.33%"
"08/05/2022","0.37637","0.37112","0.37837","0.36729","49.61M","1.47%"
"08/04/2022","0.37091","0.36950","0.37498","0.36433","59.88M","0.37%"
"08/03/2022","0.36954","0.37160","0.37730","0.36321","69.22M","-0.54%"
"08/02/2022","0.37156","0.37904","0.39412","0.36675","93.42M","-1.98%"
"08/01/2022","0.37905","0.37913","0.38586","0.37131","53.65M","-0.03%"
"07/31/2022","0.37917","0.38794","0.39860","0.37830","52.16M","-2.25%"
"07/30/2022","0.38789","0.36794","0.40983","0.36307","77.80M","5.51%"
"07/29/2022","0.36765","0.37376","0.37972","0.35964","69.19M","-1.63%"
"07/28/2022","0.37374","0.35948","0.37921","0.34948","81.34M","3.96%"
"07/27/2022","0.35949","0.33733","0.35969","0.33049","78.50M","6.55%"
"07/26/2022","0.33739","0.33601","0.33849","0.32559","83.85M","0.55%"
"07/25/2022","0.33553","0.35859","0.36009","0.33503","53.34M","-6.45%"
"07/24/2022","0.35866","0.35922","0.36672","0.35603","30.44M","-0.16%"
"07/23/2022","0.35924","0.35779","0.36267","0.34978","32.76M","0.41%"
"07/22/2022","0.35779","0.36682","0.37144","0.35419","48.27M","-2.48%"
"07/21/2022","0.36689","0.36356","0.36846","0.34879","62.16M","0.96%"
"07/20/2022","0.36339","0.37285","0.38160","0.35754","82.99M","-2.58%"
"07/19/2022","0.37300","0.36533","0.37652","0.35154","92.16M","2.13%"
"07/18/2022","0.36522","0.34338","0.36996","0.34297","91.23M","6.39%"
"07/17/2022","0.34328","0.35051","0.36133","0.34254","43.86M","-2.08%"
"07/16/2022","0.35058","0.33411","0.35606","0.33130","52.15M","4.93%"
"07/15/2022","0.33411","0.33371","0.34870","0.32757","68.40M","0.11%"
"07/14/2022","0.33373","0.32370","0.33390","0.31263","73.20M","3.09%"
"07/13/2022","0.32372","0.31164","0.32579","0.30301","94.94M","3.83%"
"07/12/2022","0.31177","0.31510","0.31806","0.30802","94.70M","-1.06%"
"07/11/2022","0.31510","0.32552","0.32884","0.31085","56.11M","-3.13%"
"07/10/2022","0.32529","0.34479","0.34487","0.32015","39.99M","-5.65%"
"07/09/2022","0.34476","0.34024","0.34764","0.33918","22.30M","1.29%"
"07/08/2022","0.34037","0.34232","0.35881","0.33592","90.33M","-0.65%"
